sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q1,1992-09-22,1.06,10,2.93,5.03,NA
Q1,1992-09-29,1,84,3.37,6.1,NA
Q1,1992-10-06,0.95,288,3.54,6.4,NA
Q1,1992-10-13,1.27,NA,4.27,7.35,NA
Q1,1992-10-20,0.87,56,3.45,6.16,NA
Q1,1992-10-27,0.91,NA,3.33,6.03,NA
Q1,1992-11-03,1.04,10,3.08,5.47,NA
Q1,1992-11-10,1.11,135,2.22,3.58,NA
Q1,1992-11-17,0.41,20,1.06,3.02,NA
Q1,1992-11-24,1.14,16,3.15,5.3,NA
Q1,1992-12-01,1.19,9,2.92,5.15,NA
Q1,1992-12-08,1.06,15,3.16,5.11,NA
Q1,1992-12-15,0.41,26,1.31,3.97,NA
Q1,1992-12-22,NA,NA,NA,NA,NA
Q1,1992-12-22,NA,NA,NA,NA,NA
Q1,1992-12-22,1.25,NA,2.75,4.63,NA
Q1,1992-12-29,1.05,NA,2.81,4.66,NA
Q1,1993-01-05,1.44,NA,4.25,7.11,NA
Q1,1993-01-12,1.14,NA,2.98,5.17,NA
Q1,1993-01-19,1.14,NA,2.9,4.28,NA
Q1,1993-01-26,1.18,NA,2.73,4.01,NA
Q1,1993-02-02,1.07,NA,3.19,4.67,NA
Q1,1993-02-09,1,NA,3.15,4.78,NA
Q1,1993-02-16,1.09,NA,3.15,4.84,NA
Q1,1993-02-23,0.91,NA,3.11,4.77,NA
Q1,1993-03-02,1.24,20,3.17,5.15,NA
Q1,1993-03-09,1.1,194,3.81,6.84,NA
Q1,1993-03-16,1,63,3.14,4.64,NA
Q1,1993-03-23,1.05,135,3.15,5.39,NA
Q1,1993-03-30,1.46,177,4.72,8.59,NA
Q1,1993-04-06,1.23,163,3.62,6.48,NA
Q1,1993-04-13,1.28,172,4.18,7.18,NA
Q1,1993-04-20,1.56,138,4.31,7.3,NA
Q1,1993-04-27,0.84,183,3.49,1.16,NA
Q1,1993-05-04,1.05,9,2.62,4.58,NA
Q1,1993-05-11,1.08,12,2.68,4.01,NA
Q1,1993-05-18,1.07,10,2.96,4.79,NA
Q1,1993-05-25,1.64,6,3.99,6.99,NA
Q1,1993-06-01,1.35,17,3.75,6.76,NA
Q1,1993-06-08,1.11,75,3.3,5.97,NA
Q1,1993-06-15,1,37,3.15,5.77,NA
Q1,1993-06-22,1.12,26,2.59,4.54,NA
Q1,1993-06-29,1.19,17,3.2,5.43,NA
Q1,1993-07-06,0.86,55,3.38,6.24,NA
Q1,1993-07-13,1.06,NA,3.11,5.24,NA
Q1,1993-07-20,0.92,NA,3.29,5.83,NA
Q1,1993-07-27,1.05,NA,1.6,5.21,NA
Q1,1993-08-03,1.1,NA,3.13,5.61,NA
Q1,1993-08-10,0.87,61,3.16,5.48,NA
Q1,1993-08-17,1.17,6,3.22,5.77,NA
Q1,1993-08-24,0.98,11,3.18,5.27,NA
Q1,1993-08-31,1.05,21,2.91,5.26,NA
Q1,1993-09-07,0.83,124,3.52,5.54,NA
Q1,1993-09-14,1.49,9,4.66,8.01,NA
Q1,1993-09-21,1.02,192,3.25,5.98,NA
Q1,1993-09-28,1.01,9,2.56,4.24,NA
Q1,1993-10-05,1.08,9,3.22,6.03,NA
Q1,1993-10-13,1.21,7,3.01,5.24,NA
Q1,1993-10-19,1.43,7,3.41,5.78,NA
Q1,1993-10-26,1.05,8,3.35,5.73,NA
Q1,1993-11-02,0.87,6,3.36,6.46,NA
Q1,1993-11-09,0.93,8,3.12,5.82,NA
Q1,1993-11-16,1.5,6,2.78,4.82,NA
Q1,1993-11-23,1.48,22,4.46,7.79,NA
Q1,1993-11-30,1.02,16,2.49,4.55,NA
Q1,1993-12-07,0.84,25,3.21,5.69,NA
Q1,1993-12-14,1.03,14,3.28,5.84,NA
Q1,1993-12-21,1.3,50,3.9,6.76,NA
Q1,1993-12-28,1.16,NA,2.78,4.5,NA
Q1,1994-01-04,1.34,NA,4.28,7.26,NA
Q1,1994-01-11,0.95,NA,1.34,3.99,NA
Q1,1994-01-18,0.85,NA,1.58,5.11,NA
Q1,1994-01-25,0.89,NA,3.26,5.64,NA
Q1,1994-02-01,0.94,9,2.61,4.08,NA
Q1,1994-02-08,1.09,17,3.15,5.49,NA
Q1,1994-02-15,0.8,NA,3.06,4.99,NA
Q1,1994-02-22,1.36,21,2.72,4.4,NA
Q1,1994-03-01,1.21,NA,3.36,5.64,NA
Q1,1994-03-08,0.95,NA,3.38,6.08,NA
Q1,1994-03-15,0.96,7,3.44,6.29,NA
Q1,1994-03-22,1.07,NA,3.47,6.24,NA
Q1,1994-03-29,0.94,NA,3.5,6.7,NA
Q1,1994-04-05,0.93,NA,3.53,6.2,NA
Q1,1994-04-12,1.02,142,3.3,6,NA
Q1,1994-04-19,1.15,177,3.39,6.17,NA
Q1,1994-04-26,1.01,17,3.56,6.67,NA
Q1,1994-05-03,0.89,19,3.48,6.46,NA
Q1,1994-05-10,1.35,14,3.02,5.33,NA
Q1,1994-05-17,1.1,25,2.88,5.49,NA
Q1,1994-05-24,1.14,18,3.44,6.62,NA
Q1,1994-05-31,1.23,16,4.48,7.7,NA
Q1,1994-06-07,1.13,17,3.94,6.86,NA
Q1,1994-06-14,1.22,20,4.53,7.75,NA
Q1,1994-06-21,1.34,11,3.97,6.94,NA
Q1,1994-06-28,1.15,NA,3.49,6.22,NA
Q1,1994-06-30,1.14,152,2.33,4.35,NA
Q1,1994-07-05,0.98,13,3.56,6.37,NA
Q1,1994-07-12,1.28,102,4.6,7.98,NA
Q1,1994-07-19,1.49,112,4.16,7.06,NA
Q1,1994-07-26,1.05,NA,3.41,6.23,NA
Q1,1994-08-02,1.17,NA,3.47,5.75,NA
Q1,1994-08-09,1.05,NA,3.24,5.66,NA
Q1,1994-08-16,1.07,NA,3.53,5.94,NA
Q1,1994-08-23,1.05,NA,3.26,6.4,NA
Q1,1994-08-30,1.37,NA,5.12,8.92,NA
Q1,1994-09-06,1.79,NA,3.73,6.67,NA
Q1,1994-09-13,0.89,NA,3.38,6.15,NA
Q1,1994-09-20,1.7,NA,1.45,2.42,NA
Q1,1994-09-27,0.88,NA,3.39,6.45,NA
Q1,1994-10-04,0.84,NA,3.45,6.41,NA
Q1,1994-10-11,1.22,NA,3.33,6.4,NA
Q1,1994-10-18,0.94,NA,3.44,6.6,NA
Q1,1994-10-25,1.35,NA,2.82,5.06,NA
Q1,1994-11-01,1.21,NA,3.52,6.62,NA
Q1,1994-11-08,1.36,NA,2.11,3.78,NA
Q1,1994-11-15,1.25,NA,3.4,6.29,NA
